 151 ; 50 пенни. Финляндия ; 1977 ;  ;  ; AU ; 6 ; igors1969 ; 16 
 152 ; 20 пенни. Финляндия ; 1978 ;  ;  ; VF+ ; 6 ; igors1969 ; 11 
 53 ; 5 копеек ; 1782 ; ЕМ  ; Cu ; VF+ ; 37 ; volod ; 306 
 54 ; 5 копеек. Гурт забит ; 1792 ; ЕМ  ; Cu ; VF ; 24 ; zero ; 125 
 55 ; 3 копейки ; 1899 ; СПБ  ; Cu ; F-VF ; 12 ; Kleo ; 15 
 56 ; 3 копейки ; 1909 ; СПБ  ; Cu ; VF- ; 11 ; obob999 ; 17 
 57 ; 3 копейки ; 1912 ; СПБ  ; Cu ; VF+ ; 53 ; sinisha ; 55 
 58 ; 3 копейки ; 1915 ;  ; Cu ; VF+ ; 14 ; jl ; 18 
 59 ; 2 копейки ; 1757 ; Номинал под гербом  ; Cu ; VF- ; 63 ; zero ; 100 
 60 ; 2 копейки ; 1801 ; ЕМ  ; Cu ; F-VF ; 35 ; zero ; 51 
 61 ; 2 копейки ; 1812 ; ЕМ НМ  ; Cu ; VF- ; 38 ; zero ; 173 
 62 ; 2 копейки ; 1819 ; ЕМ НМ  ; Cu ; VF- ; 14 ; ZAA_44 ; 102 
 63 ; 2 копейки ; 1822 ; ЕМ ФГ  ; Cu ; VF ; 39 ; gelind ; 45 
 64 ; 2 копейки ; 1838 ; ЕМ НА  ; Cu ; F-VF ; 34 ; sinisha ; 51 
 65 ; 2 копейки ; 1901 ; СПБ  ; Cu ; VF- ; 34 ; SVE ; 41 
 66 ; 2 копейки ; 1906 ; СПБ  ; Cu ; VF ; 30 ; SVE ; 39 
 67 ; 2 копейки ; 1909 ; СПБ  ; Cu ; VF ; 28 ; obob999 ; 28 
 68 ; 2 копейки ; 1910 ; СПБ  ; Cu ; VF-XF ; 23 ; KKK17 ; 399 
 69 ; 2 копейки ; 1911 ; СПБ  ; Cu ; VF+ ; 15 ; obob999 ; 16 
 70 ; 2 копейки ; 1913 ; СПБ  ; Cu ; VF+ ; 34 ; SVE ; 57 
 71 ; Копейка ; 1800 ; ЕМ  ; Cu ; F-VF ; 25 ; skif ; 76 
 72 ; Копейка ; 1819 ; КМ АД  ; Cu ; F-VF ; 48 ; first ; 69 
 73 ; Копейка ; 1832 ; ЕМ ФХ  ; Cu ; F-VF ; 49 ; sinisha ; 158 
 74 ; Копейка ; 1844 ; ЕМ  ; Cu ; F-VF ; 65 ; sinisha ; 87 
 75 ; Копейка ; 1855 ; ЕМ  ; Cu ; F-VF ; 44 ; sinisha ; 44 
 76 ; Копейка ; 1860 ; ЕМ  ; Cu ; VF- ; 53 ; nikolay ; 53 
 77 ; Копейка ; 1895 ; СПБ  ; Cu ; F-VF ; 39 ; nikolay ; 62 
 78 ; Копейка ; 1903 ; СПБ  ; Cu ; VF- ; 30 ; obob999 ; 27 
 79 ; Копейка ; 1906 ; СПБ  ; Cu ; VF- ; 27 ; first ; 38 
 80 ; Копейка ; 1910 ; СПБ  ; Cu ; VF ; 31 ; obob999 ; 36 
 81 ; Копейка ; 1914 ; СПБ  ; Cu ; VF+ ; 17 ; Kleo ; 17 
 82 ; Копейка ; 1915 ;  ; Cu ; XF ; 58 ; zero ; 204 
