 6630 ; Ложка десертная 127 мм (проба 875) ;  ;  ; Ag ;  ; 15 ; Starushka ; 567 
 6631 ; Набор чайных ложечек (6 штук, 135 мм, проба 875) ;  ;  ; Ag ;  ; 9 ; 61irek ; 4800 
 6632 ; Нож для масла (170 мм, ручка: 813 проба) ;  ;  ; Ag ;  ; 14 ; zef ; 340 
 6633 ; Вилка для рыбы (215 мм, ручка 830 проба)  Финляндия ;  ;  ; Ag ;  ; 7 ; krava ; 310 
 6634 ; Нож  GAB (210 мм, ручка- серебро 830 пробы) ;  ;  ; Ag ;  ; 24 ; mask ; 554 
 6635 ; Нож для паштета "ATKINSON BROs / SHEFFIELD" 200 мм ;  ;  ; Ag ;  ; 20 ; Як2345 ; 510 
 6636 ; Нож  (255 мм, ручка- серебро 830 пробы) ;  ;  ; Ag ;  ; 22 ; mask ; 1134 
 6637 ; Кофейный набор (чашка (вес: 86,28)  и блюдце (вес: 79,43)) ;  ;  ; Ag ; проба: 875 ; 48 ; ЗАБРАЛО ; 8043 
 6638 ; Чайная ложка 139 мм (проба 875) ;  ;  ;  ;  ; 29 ; RAPAN ; 1223 
 6639 ; Ложка столовая 213 мм (проба 84) Клеймо "Хлебниковъ" ;  ;  ; Ag ;  ; 44 ; Masik ; 5667 
 6640 ; Ложка столовая 213 мм (проба 84) Клеймо "Хлебниковъ" ;  ;  ; Ag ;  ; 47 ; Masik ; 5667 
 6485 ; Кассета MB CAPS 32 для монет, на 30 ячеек. Leuchtturm ;  ;  ;  ; Б/у ; 25 ; sm-dc ; 915 
 6486 ; Альбом Opima RINGBINDER PUR для монет и банкнот, коричневый. Leuchtturm, #359516 ;  ;  ;  ;  ; 62 ; val_diver ; 1134 
 6487 ; Альбом CLASEUROBL1SET в футляре с листами для монет Евро. Том 1. Leuchtturm #341040 ;  ;  ;  ;  ; 20 ; uharius ; 1003 
 6488 ; Альбом для президентских долларов СL PRE SET, с листами, в футялре. Leuchtturm ;  ;  ;  ;  ; 41 ; uharius ; 1383 
 6489 ; Альбом на 100 монет 25 центов, в футляре. Leuchtturm ;  ;  ;  ;  ; 42 ; uharius ; 1440 
 6490 ; Базовый каталог "Монеты России 1700-1917 гг", В. Е. Семенов. Выпуск - 2015 год, 14 редакция. Подарочное издание ;  ;  ;  ;  ; 45 ; vasilekd ; 3568 
 6491 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 27 ; Вячеслав58 ; 1669 
 6492 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 39 ; makci ; 459 
 6493 ; В.Е. Семенов. Куда уходят деньги ;  ;  ;  ;  ; 13 ; Sky2 ; 104 
 6494 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 43 ; Bankomat ; 261 
 6495 ; Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 24 ; Бигль ; 244 
 6496 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 41 ; Вячеслав58 ; 114 
 6497 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 26 ; Вячеслав58 ; 110 
 6498 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 14 ; Вячеслав58 ; 113 
 6499 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 26 ; Блюхер ; 69 
 6500 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 10 ; Markgraf ; 51 
 6501 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 9 ; vorgarik ; 42 
 6502 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 29 ; Вячеслав58 ; 76 
 6503 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 15 ; Вячеслав58 ; 79 
