 6486 ; Ю. Иверсен. Медали на деяния императора Петра Великого. Репритное издание. Москва 2002 ;  ;  ;  ;  ; 17 ; Affliction ; 466 
 6487 ; Самые красивые и знаменитые деньги мира. Москва 2011г ;  ;  ;  ;  ; 16 ; Affliction ; 402 
 6488 ; Лот из 2 книг. И.М Пешкова. Искусство каслинских мастеров. Книга I, II. Южно-уральское книжное издательство. Челябинск 1983г ;  ;  ;  ;  ; 36 ; lavist ; 793 
 6489 ; Лот из 4 журналов Нумизматика и Фалеристика №1,2,3,4. 1998г ;  ;  ;  ;  ; 10 ; Emv ; 115 
 6490 ; Герб Фрайкопф. Русские самовары. 1996г ;  ;  ;  ;  ; 34 ; lavist ; 510 
 6491 ; Мишель Оллей. Территория любви. Современная эротическая фотография. Издательство "ЭКСПРЕСС-КЛУБ". Москва 2002 ;  ;  ;  ;  ; 22 ; cr5400 ; 414 
 6492 ; Оптовый лот. 72 книги (коробка). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 66 ; МММ ; 2039 
 6493 ; Оптовый лот. 13 книг (коробка). Куда уходят деньги? В. Е. Семенов ;  ;  ;  ;  ; 15 ; торгаш ; 523 
 6494 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг ;  ;  ;  ;  ; 7 ; всемоё ; 577 
 6495 ; Оптовый лот. 10 книг. Русские деньги X-XVII вв. Редакция 7, 2019. В. Е. Семенов ;  ;  ;  ;  ; 6 ; garikms ; 633 
 6496 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 35 ; ксю1971 ; 1631 
 6497 ; Оптовый лот. 4 книги (коробка).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 18 ; aleks1753 ; 3285 
 6498 ; Оптовый лот. 24 книги (6 коробок).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 34 ; всемоё ; 15912 
 6601 ; Атлас командира РККА. Генеральный штаб РККА. Москва 1938г. ;  ;  ;  ;  ; 61 ; нумизмат91 ; 3774 
 6602 ; Кольцо женское с фианитами, золото, проба 585. ;  ;  ; Au ;  ; 69 ; Dahan ; 7457 
 6603 ; Браслет, золото, проба 56. ;  ;  ; Au ;  ; 107 ; смагинми ; 12882 
 6604 ; Портсигар За успешное выполнение задания, серебро. ;  ;  ; Ag ;  ; 89 ; sheff78 ; 13872 
 6605 ; Щипцы для сахара, серебро 84, А . Р 1885. ;  ;  ; Ag ;  ; 51 ; Dahan ; 2711 
 6606 ; Стакан серебро. Европа ;  ;  ; Ag ;  ; 63 ; BohUm ; 2607 
 6607 ; Подсвечники 2 шт. серебро. Европа. ;  ;  ; Ag ;  ; 73 ; pollipol ; 10200 
 6608 ; Набор ножей 6шт., ручки серебро. Европа ;  ;  ; Ag/жм ;  ; 28 ; oleghh7 ; 3264 
 6609 ; Ложка для салата, ручка серебро. Европа ;  ;  ; Ag/жм ;  ; 19 ; КВ50 ; 1029 
 6610 ; Вилка для салата, ручка серебро. Европа ;  ;  ; Ag/жм ;  ; 21 ; КВ50 ; 848 
 6611 ; Ложки чайные 2 шт., серебро 84, А.Р 1885 ;  ;  ; Ag ;  ; 48 ; ask ; 2991 
 6612 ; Десертная вилка и ложка, серебро. ;  ;  ; Ag ;  ; 58 ; maymuse ; 1536 
 6613 ; Кольцо для салфетки, серебро. Европа ;  ;  ; Ag ;  ; 31 ; (.!.) ; 644 
 6614 ; Ложка для варенья/мороженого, серебро 84 ;  ;  ; Ag ;  ; 78 ; Dahan ; 3242 
 6413 ; Капсулы для монет – 22 мм, упаковка 10 шт. Leuchtturm. ;  ;  ;  ;  ; 14 ; ДУНКАН МАКЛАУД ; 155 
 6414 ; Капсулы для монет – 22,5 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 22 ; Emv ; 132 
 6415 ; Капсулы для монет – 32 мм, упаковка 10 шт. Leuchtturm. ;  ;  ;  ;  ; 14 ; prostor.71 ; 132 
 6416 ; Капсулы для монет – 39 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 20 ; (.!.) ; 181 
 6417 ; Капсулы для монет – 40 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 16 ; SS007 ; 159 
 6418 ; Капсулы для монет – 41 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 13 ; SS007 ; 159 
 6419 ; Капсулы с лупой MAGNICAPS для монет - 18 мм. Упаковка 2 шт. Leuchtturm, #346140 ;  ;  ;  ;  ; 48 ; (.!.) ; 308 
 6420 ; Капсулы для монет – 40 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344017 ;  ;  ;  ;  ; 55 ; ДУНКАН МАКЛАУД ; 305 
 6421 ; Капсулы Quadrum для монет – 14 мм, упаковка 10 шт. Leuchtturm, #308571 ;  ;  ;  ;  ; 25 ; Arlekino82 ; 232 
 6422 ; Капсулы Quadrum для монет – 14 мм, упаковка 10 шт. Leuchtturm, #308571 ;  ;  ;  ;  ; 22 ; Andre_Vladi ; 192 
 6423 ; Капсулы Quadrum 35 для монет – 35 мм, упаковка 10 шт. Leuchtturm, #334903 ;  ;  ;  ;  ; 15 ; Arlekino82 ; 232 
 6424 ; Капсулы Quadrum 35 для монет – 35 мм, упаковка 10 шт. Leuchtturm, #334903 ;  ;  ;  ;  ; 19 ; Andre_Vladi ; 199 
 6425 ; Капсулы Quadrum 35 для монет – 35 мм, упаковка 10 шт. Leuchtturm, #334903 ;  ;  ;  ;  ; 20 ; Sandello ; 189 
 6426 ; Капсулы Quadrum для монет – 37 мм, упаковка 10 шт. Leuchtturm, #330824 ;  ;  ;  ;  ; 17 ; Arlekino82 ; 276 
 6427 ; Капсулы Quadrum 38 для монет – 38 мм упаковка 10 шт. Leuchtturm, #330704 ;  ;  ;  ;  ; 19 ; Arlekino82 ; 183 
 6428 ; Капсулы QUADRUM 39 для монет – 39 мм, упаковка 10 шт. Leuchtturm, #319904 ;  ;  ;  ;  ; 21 ; Arlekino82 ; 382 
 6429 ; Капсулы Quadrum 40 для монет – 40 мм, упаковка 10 шт. Leuchtturm, #307563 ;  ;  ;  ;  ; 7 ; bamia67 ; 306 
 6430 ; Капсулы для монет – 12 мм, упаковка 10 шт. Россия ;  ;  ;  ;  ; 38 ; SwaggaRakka ; 69 
 6431 ; Капсулы для монет – 16 мм (круг), упаковка 10 шт. Россия ;  ;  ;  ;  ; 35 ; лампедуза ; 79 
 6432 ; Капсулы для монет – 30 мм (круг), упаковка 10 шт. Россия ;  ;  ;  ;  ; 34 ; Yustas69 ; 73 
 6433 ; Капсулы для монет – 33 мм, упаковка 10 шт. Россия ;  ;  ;  ;  ; 18 ; Mozer ; 102 
 6434 ; Холдеры для монет, самоклеющиеся - 32,5 мм, упаковка 25 шт."Lindner" ;  ;  ;  ;  ; 36 ; DIMA 57 ; 169 
 6435 ; Холдеры для монет, самоклеющиеся - 32,5 мм, упаковка 25 шт."Lindner" ;  ;  ;  ;  ; 38 ; DIMA 57 ; 177 
 6436 ; Нумизматические перчатки, размер 9/L. Shine Coins, #PS007 ;  ;  ;  ;  ; 34 ; faraon ; 111 
 6437 ; Альбом R010808 на 180 монет, с листами. Россия ;  ;  ;  ;  ; 25 ; ghjghj26 ; 204 
 6438 ; Лист КЛБ-4 в альбом Optima, на 4 банкноты. Упаковка (10 шт.). Сомс, #2025004 ;  ;  ;  ;  ; 21 ; Yustas69 ; 199 
 6439 ; Лист КЛБ-1 в альбом Optima, на 1 банкноты. Упаковка (10 шт.). Сомс, #2025001 ;  ;  ;  ;  ; 17 ; moon ; 208 
 6440 ; Лист КЛБ-3 в альбом Optima, на 3 банкноты. Упаковка (10 шт.). Сомс, #2025003 ;  ;  ;  ;  ; 25 ; Rjn ; 194 
 6441 ; Лист КЛБ-3 в альбом Optima, на 3 банкноты. Упаковка (10 шт.). Сомс, #2025003 ;  ;  ;  ;  ; 34 ; ALEKCIH ; 238 
 6442 ; Лист КЛБ-3 в альбом Optima, на 3 банкноты. Упаковка (10 шт.). Сомс, #2025003 ;  ;  ;  ;  ; 22 ; Сашок 1959 ; 191 
 6443 ; Листы КЛФ-3В в альбом GRANDE, на 3 банкноты. Упаковка (10 шт.). СомС, #2431003 ;  ;  ;  ;  ; 11 ; Alexdav ; 239 
 6444 ; Лист в альбом Optima на 60 монет, скользящий. Упаковка 10 шт. Нумизмат-С ;  ;  ;  ;  ; 15 ; $KoKoS$ ; 157 
 6445 ; Разделитель картонный в альбом OPTIMA. Упаковка (50 шт.). Lindner ;  ;  ;  ;  ; 63 ; kwacha_dm ; 220 
 6446 ; Комплект листов для значков ТКП-АВ. СомС, 11-643-2025020 ;  ;  ;  ;  ; 37 ; chingizhan ; 295 
 6447 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 64 ; makci ; 1501 
 6448 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 69 ; Alexdav ; 1360 
 6449 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 61 ; vonrussel ; 333 
 6450 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 32 ; vonrussel ; 167 
 6451 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 23 ; vonrussel ; 169 
 6452 ; В.Е. Семенов. Куда уходят деньги ;  ;  ;  ;  ; 29 ; Affliction ; 317 
 6453 ; Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 17 ; vonrussel ; 308 
 6454 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 50 ; vonrussel ; 164 
 6455 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 31 ; cityden ; 157 
 6456 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 30 ; Nikitos76 ; 161 
 6457 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 13 ; maorly ; 95 
