 246 ; 3 копейки ; 1858 ; ЕМ ; Cu ; XF+ ; 9 ; Участник № 1032 ; 1200 
 247 ; 2 копейки ; 1858 ; ЕМ ; Cu ; VF-XF ; 14 ; ST ; 929 
 248 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 67 ; SSK ; 5315 
 249 ; Копейка ; 1859 ; ВМ ; Cu ; XF ; 13 ; Участник № 30 ; 6200 
 250 ; 3 копейки ; 1860 ; ЕМ ; Cu ; AU ; 21 ; Участник № 30 ; 4600 
 151 ; 5 злотых ; 1817 ; IB Польша ; Ag ; VF+ ; 42 ; monos72 ; 10200 
 152 ; 2 злотых ; 1818 ; IB Польша ; Ag ; VF ; 40 ; PSP ; 3555 
 153 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; VF-XF ; 52 ; Участник № 147 ; 1100 
 154 ; Копейка ; 1820 ; ИМ ЯВ ; Cu ; XF+ ; 27 ; SSK ; 7650 
 155 ; Рубль (Петров-3р) ; 1825 ; СПБ НГ ; Ag ; VF ; 31 ; ZOLTAN333 ; 12000 
 156 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 35 ; Участник № 147 ; 15000 
 157 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 32 ; dimon46 ; 3437 
 158 ; 2 копейки ; 1826 ; ЕМ ИК ; Cu ; XF+ ; 32 ; ВВС ; 1200 
 159 ; Копейка ; 1827 ; ЕМ ИК ; Cu ; AU ; 24 ; Участник № 9 ; 6000 
 160 ; Рубль ; 1828 ; СПБ НГ ; Ag ; XF+ ; 53 ; Участник № 51 ; 30000 
 161 ; 25 копеек (Петров-2р) ; 1828 ; СПБ НГ ; Ag ; VF+ ; 20 ; Участник № 18 ; 8000 
 162 ; 10 копеек ; 1828 ; СПБ НГ ; Ag ; XF ; 31 ; Участник № 18 ; 13000 
 163 ; Копейка ; 1828 ; КМ АМ ; Cu ; VF+ ; 42 ; Участник № 30 ; 1400 
 164 ; 25 злотых. М-4,9г ; 1829 ; FH Польша ; Au ; VF-XF ; 28 ; Участник № 257 ; 57500 
 165 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF ; 9 ; boroda ; 14000 
 166 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF- ; 23 ; Участник № 133 ; 7000 
 167 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; VF+ ; 34 ; Участник № 133 ; 8000 
 168 ; 5 злотых ; 1829 ; FH Польша ; Ag ; XF- ; 17 ; Участник № 30 ; 18000 
 169 ; 20 копеек (Ильин-5р) ; 1830 ; СПБ НГ ; Ag ; VF ; 39 ; kosta ; 3954 
 170 ; 2 копейки (Петров-3р, Ильин-1р) ; 1830 ; КМ АМ ; Cu ; VF+ ; 10 ; смит ; 2601 
 171 ; 20 копеек (Ильин-6р) ; 1831 ; СПБ НГ ; Ag ; F-VF ; 14 ; antiquar ; 2756 
 172 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF- ; 15 ; Участник № 30 ; 5500 
 173 ; Полтина (Ильин-5р). Редкая датировка ; 1832 ; СПБ НГ ; Ag ; VF ; 10 ; TDN ; 12240 
 174 ; Рубль ; 1833 ; СПБ НГ ; Ag ; XF ; 15 ; Джон ; 7356 
