 5567 ; Акция. США ;  ;  ;  ;  ; 3 ; guronidze ; 102 
 5568 ; Акция. США ;  ;  ;  ;  ; 5 ; Вадим Старый ; 101 
 5569 ; Акция. США ;  ;  ;  ;  ; 19 ; Атлантик ; 100 
 5570 ; Акция. США ;  ;  ;  ;  ; 15 ; Атлантик ; 100 
 5571 ; Акция. США ;  ;  ;  ;  ; 10 ; Атлантик ; 101 
 5572 ; Акция. США ;  ;  ;  ;  ; 7 ; Атлантик ; 100 
 5573 ; Акция. США ;  ;  ;  ;  ; 3 ; guronidze ; 101 
 5574 ; Акция. США ;  ;  ;  ;  ; 3 ; guronidze ; 101 
 5575 ; Акция. США ;  ;  ;  ;  ; 3 ; Вадим Старый ; 101 
 5576 ; Акция. США ;  ;  ;  ;  ; 5 ; 333985 ; 99 
 5577 ; Акция. США ;  ;  ;  ;  ; 5 ; 333985 ; 57 
 5578 ; Акция. Германия ;  ;  ;  ;  ; 20 ; 333985 ; 99 
 5579 ; Акция. Германия ;  ;  ;  ;  ; 6 ; Атлантик ; 100 
 5580 ; Акция. Германия ;  ;  ;  ;  ; 5 ; велес ; 116 
 5581 ; Акция. Германия ;  ;  ;  ;  ; 15 ; 333985 ; 99 
 5582 ; Акция. Германия ;  ;  ;  ;  ; 11 ; 333985 ; 99 
 5583 ; Акция. Германия ;  ;  ;  ;  ; 11 ; 333985 ; 99 
 5584 ; Акция. Германия ;  ;  ;  ;  ; 11 ; 333985 ; 99 
 5585 ; Акция. Германия ;  ;  ;  ;  ; 9 ; 333985 ; 99 
 5586 ; Акция. Германия ;  ;  ;  ;  ; 25 ; 333985 ; 99 
 5587 ; Акция. Германия ;  ;  ;  ;  ; 3 ; велес ; 101 
 5588 ; Акция. Германия ;  ;  ;  ;  ; 9 ; 333985 ; 99 
 5589 ; Акция. Египет ; 1925 ;  ;  ;  ; 7 ; 333985 ; 57 
 5590 ; Акция. Конго ; 1922 ;  ;  ;  ; 3 ; велес ; 101 
 5491 ; Бона иностранная. Иран ;  ;  ;  ;  ; 9 ; vladmarkin ; 40 
 5492 ; Бона иностранная. Иран ;  ;  ;  ;  ; 11 ; dimon-2007 ; 79 
 5493 ; Бона иностранная. Иран ;  ;  ;  ;  ; 9 ; гудзон ; 36 
 5494 ; Бона иностранная. Иран ;  ;  ;  ;  ; 10 ; air ; 34 
 5495 ; Бона иностранная. Иран ;  ;  ;  ;  ; 5 ; graff36alex ; 30 
 5496 ; Бона иностранная. Иран ;  ;  ;  ;  ; 5 ; гудзон ; 57 
 5497 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 28 ; 462 ; 317 
 5498 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 23 ; 462 ; 340 
 5499 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 31 ; 462 ; 453 
 5500 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 22 ; 462 ; 414 
 5501 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 27 ; 462 ; 567 
 5502 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 27 ; 462 ; 567 
 5503 ; Бона иностранная Китай ;  ;  ;  ; AU ; 43 ; Lex2000 ; 163 
 5504 ; 100 драмов ; 1998 ; Армения ;  ; AU ; 30 ; boca ; 148 
 5505 ; 50 драмов ; 1998 ; Армения ;  ; AU ; 25 ; Lex2000 ; 135 
 5506 ; 25 драмов ; 1993 ; Армения ;  ; AU ; 16 ; Lex2000 ; 135 
 5507 ; Бона иностранная.Камбоджа ;  ;  ;  ;  ; 11 ; Атлантик ; 31 
 5508 ; Бона иностранная Китай ;  ;  ;  ;  ; 13 ; 462 ; 340 
 5509 ; Бона иностранная Египет ;  ;  ;  ; AU ; 24 ; Lex2000 ; 45 
 5510 ; Бона иностранная. Боливия ; 1945 ;  ;  ; AU ; 46 ; boca ; 273 
 5511 ; Бона иностранная. Гамбия ;  ;  ;  ;  ; 11 ; птичка16 ; 100 
