 15 ; Рубль ; 1733 ;  ; Ag ; XF- ; 26 ; Менеджер ; 22000 
 16 ; Рубль ; 1735 ;  ; Ag ; VF+ ; 32 ; CapsulЪ ; 16509 
 17 ; Рубль. В капсуле ННР ; 1738 ; СПБ ; Ag ;  ; 47 ; CapsulЪ ; 24988 
 18 ; Рубль ; 1744 ; ММД ; Ag ; XF ; 40 ; CapsulЪ ; 35259 
 19 ; Рубль ; 1747 ; СПБ ; Ag ; VF+ ; 22 ; gelo ; 18360 
 20 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; XF- ; 32 ; Lego duplo ; 28000 
 21 ; Рубль ; 1757 ; ММД МБ ; Ag ; VF+ ; 58 ; CapsulЪ ; 26069 
 22 ; Рубль (Петров-3р) ; 1764 ; ММД EI TI ; Ag ; XF- ; 47 ; Продано в зале ; 24000 
 23 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; XF- ; 37 ; СВл ; 16000 
 24 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; VF-XF ; 27 ; СВл ; 14235 
 25 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF ; 53 ; Ok203 ; 8469 
 26 ; Рубль ; 1844 ; MW ; Ag ; XF ; 19 ; CapsulЪ ; 4896 
 27 ; Рубль ; 1873 ; СПБ HI ; Ag ; VF-XF ; 71 ; Продано в зале ; 42000 
 28 ; Рубль ; 1901 ; (ФЗ) ; Ag ; VF-XF ; 24 ; Ok203 ; 5100 
 29 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF ; 16 ; Mashinist2019 ; 8160 
 30 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 31 ; Менеджер ; 13940 
 31 ; Рубль ; 1914 ; (ВС) ; Ag ; XF ; 63 ; sergius ; 34367 
 32 ; Полуполтинник ; 1766 ; ММД ЕI ; Ag ; VF ; 17 ; Sintez ; 5100 
 33 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF-XF ; 34 ; Lego duplo ; 6800 
 34 ; Гривенник ; 1751 ;  ; Ag ; VF- ; 22 ; fgd ; 2505 
 35 ; Гривенник ; 1770 ; СПБ TI ; Ag ; VF+ ; 12 ; Ok203 ; 3060 
 36 ; Гривенник ; 1784 ; СПБ ; Ag ; VF-XF ; 27 ; QSL ; 2320 
 37 ; 10 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 49 ; CapsulЪ ; 6000 
 38 ; 10 копеек ; 1830 ; СПБ НГ ; Ag ; XF- ; 35 ; CapsulЪ ; 6250 
