 171 ; Копейка ; 1859 ; ВМ ; Cu ; VF+ ; 15 ; HSS ; 1869 
 172 ; Полушка (Ильин-1р) ; 1859 ; ЕМ ; Cu ; AU ; 21 ; Участник № 51 ; 10000 
 173 ; Полушка ; 1859 ; ЕМ ; Cu ; XF ; 30 ; Участник № 30 ; 3600 
 174 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 15 ; HSS ; 6000 
 175 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; VF-XF ; 15 ; ksv11 ; 2805 
 176 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 7 ; Участник № 1127 ; 1200 
 177 ; 10 копеек ; 1861 ; СПБ ; Ag ; XF+ ; 9 ; Участник № 133 ; 1200 
 178 ; 10 копеек. Гурт круглые точки ; 1861 ; СПБ ; Ag ; AU ; 35 ; max7421 ; 12750 
 179 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 16 ; HSS ; 7140 
 180 ; Денежка ; 1861 ; ВМ ; Cu ; VF+ ; 22 ; HSS ; 2267 
 181 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 17 ; ZOLTAN333 ; 3059 
 182 ; 2 копейки ; 1862 ; ВМ ; Cu ; VF-XF ; 31 ; деньга ; 18888 
 183 ; 5 копеек ; 1863 ; ЕМ ; Cu ; VF-XF ; 19 ; монеткин ; 2550 
 184 ; Рубль ; 1868 ; СПБ HI ; Ag ; XF-/VF-XF ; 30 ; Gatchina ; 18000 
 185 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; XF+ ; 25 ; Участник № 133 ; 3000 
 186 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 35 ; Участник № 9 ; 5500 
 187 ; 5 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 30 ; HSS ; 7000 
 188 ; 5 копеек ; 1869 ; ЕМ ; Cu ; VF-XF ; 23 ; Misha ; 2946 
 189 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 32 ; Глол ; 10074 
 190 ; 10 копеек ; 1874 ; СПБ HI ; Ag ; XF+/AU ; 29 ; AVA01 ; 8941 
 191 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 30 ; Глол ; 10072 
