 1238 ; Медаль. " Достойному ", императорская академия художеств. D = 53 мм ;  ;  ; Cu ; XF/XF+ ; 8 ; AVA01 ; 29580 
 1239 ; Медаль. За полезные труды по сельскому хозяйству. D = 64 мм ;  ;  ; Ag ; XF ; 8 ; Продано в зале ; 36000 
 1240 ; Медаль. 50-лет на поприще службы и науки професору И.В.Буяльскому. D = 62 мм ;  ;  ; Cu ; AU/XF ; 1 ; LUTSCH ; 15000 
 1241 ; Медаль. В память чудесного спасения царского семейства 17 октября 1888г. D-90мм ;  ;  ; Cu ; XF/AU ; 16 ; андрей&ка ; 34000 
 1242 ; Медаль в память кончины Императора Александра II 1 марта 1881 г. D-77мм ;  ;  ; Cu ; XF/AU ; 33 ; андрей&ка ; 25000 
 1243 ; Медаль. С.-Петербургский лесной институт (1903-1903). D-77мм ;  ;  ; Cu ; XF+ ; 20 ; Продано в зале ; 18500 
 1244 ; Медаль. За полезные труды по сельскому хозяйству. D = 64 мм ;  ;  ; Cu ; AU ; 5 ; андрей&ка ; 11000 
 1245 ; Медаль в память 700-летия Христианства в Финляндии 1857г. D-57мм ;  ;  ; Cu ; XF/AU ; 1 ; QSL ; 6000 
 1246 ; Медаль наградная за Гельсингфорскую выставку в 1876г. D-65мм ;  ;  ; Cu ; XF+ ; 13 ; андрей&ка ; 8007 
 1247 ; Медаль в память посещения парламента Финляндии Александром II (1863-1864). D-56мм ;  ;  ; Cu ; XF/AU ; 15 ; стрелец ; 6800 
 1248 ; Медаль в память 200-летия Александровского университета в Финляндии 1840г. Имп. Николай I. 57мм ;  ;  ; Cu ; XF ; 11 ; андрей&ка ; 6630 
 1149 ; 15 копеек-1 злотый ; 1838 ; MW Рус.-Пол. ; Ag ; XF ; 5 ; Продано в зале ; 3800 
 1150 ; 15 копеек ; 1861 ; СПБ МИ ; Ag ; VF-XF ; 5 ; Маша-растеряша ; 13000 
 1151 ; 15 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 5 ; Продано в зале ; 4200 
 1152 ; 15 копеек ; 1898 ; СПБ АГ ; Ag ; XF/AU ; 23 ; Продано в зале ; 7400 
 1153 ; Гривенник ; 1744 ;  ; Ag ; XF-/XF ; 13 ; каламбурчик ; 5553 
 1154 ; Гривенник ; 1746 ;  ; Ag ; XF+ ; 11 ; verunk1 ; 6777 
 1155 ; Гривенник ; 1771 ; СПБ TI ; Ag ; XF- ; 9 ; Isay ; 4029 
 1156 ; Гривенник ; 1778 ; СПБ ; Ag ; XF- ; 5 ; каламбурчик ; 4200 
 1157 ; Гривенник ; 1783 ; СПБ ; Ag ; XF/XF+ ; 1 ; каламбурчик ; 3800 
 1158 ; Гривенник ; 1784 ; СПБ ; Ag ; XF/XF+ ; 3 ; verunk1 ; 3876 
 1159 ; 10 копеек ; 1804 ; СПБ ФГ ; Ag ; VF+ ; 7 ; Продано в зале ; 21000 
 1160 ; 10 копеек ; 1805 ; СПБ ФГ ; Ag ; XF ; 21 ; mac ; 73224 
 1161 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF+/AU ; 32 ; Продано в зале ; 32000 
 1162 ; 10 копеек ; 1828 ; СПБ НГ ; Ag ; XF/XF- ; 31 ; Продано в зале ; 25000 
 1163 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 17 ; Продано в зале ; 10000 
 1164 ; 5 копеек ; 1760 ; СПБ ; Ag ; XF+ ; 13 ; sity007 ; 15300 
 1165 ; 5 копеек ; 1831 ; СПБ НГ ; Ag ; XF+ ; 17 ; Продано в зале ; 8600 
 1166 ; 5 копеек ; 1840 ; СПБ НГ ; Ag ; XF+ ; 7 ; Продано в зале ; 12000 
 1167 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; Unc/AU ; 11 ; Продано в зале ; 11000 
 1168 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; XF/AU ; 3 ; Продано в зале ; 4600 
 1169 ; 5 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 8 ; Продано в зале ; 4200 
 1170 ; 5 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 1 ; Продано в зале ; 3400 
 1171 ; 5 злотых ; 1816 ; IB Польша ; Ag ; VF+ ; 7 ; cr2563 ; 10302 
 1172 ; 5 злотых ; 1829 ; FH Польша ; Ag ; XF/XF- ; 9 ; Isay ; 19890 
 1173 ; 5 злотых ; 1830 ; KG Польша ; Ag ; XF- ; 3 ; Продано в зале ; 9000 
 1174 ; 5 злотых ; 1831 ; KG Польша ; Ag ; XF/XF+ ; 11 ; luda ; 21000 
 1175 ; 5 злотых ; 1833 ; KG Польша ; Ag ; XF/XF- ; 1 ; Продано в зале ; 8500 
 1176 ; 5 грошей ; 1819 ; IB Польша ; Ag ; XF ; 23 ; Продано в зале ; 9200 
 1177 ; Двойной абаз ; 1827 ; АТ Грузия ; Ag ; XF ; 39 ; Продано в зале ; 16000 
 1178 ; Талер, Курляндия. Петр Бирон ; 1780 ;  ; Ag ; XF+ ; 0 ; Не продан ; 0 
 1179 ; 6 грошей. В капсуле NGC ; 1761 ; Для Пруссии ; Ag ; XF45 ; 9 ; cr2563 ; 17578 
 1180 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 2 ; Алексей Викторович ; 4080 
 1181 ; 5 копеек ; 1782 ; КМ ; Cu ; XF ; 9 ; Продано в зале ; 6400 
 1182 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 1 ; Isay ; 3000 
 1183 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 3 ; mac ; 5214 
 1184 ; 5 копеек ; 1786 ; КМ ; Cu ; VF-XF ; 10 ; igors1969 ; 5099 
 1185 ; 5 копеек ; 1787 ; ТМ ; Cu ; VF ; 1 ; Продано в зале ; 40000 
 1186 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF-XF ; 5 ; cr2563 ; 8200 
 1187 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 5 ; Sky2 ; 1062 
 1188 ; 5 копеек ; 1792 ; АМ ; Cu ; XF ; 9 ; Sky2 ; 1301 
 1189 ; 5 копеек ; 1795 ; АМ ; Cu ; XF+ ; 17 ; 439 ; 3632 
 1190 ; 5 копеек ; 1803 ; КМ ; Cu ; XF- ; 7 ; OMT ; 8000 
 1191 ; 5 копеек ; 1804 ; КМ ; Cu ; VF-XF ; 40 ; OMT ; 6405 
 1192 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; XF ; 26 ; Алексей Викторович ; 8058 
 1193 ; 5 копеек ; 1866 ; ЕМ ; Cu ; XF- ; 5 ; Продано в зале ; 6200 
 1194 ; 5 копеек ; 1872 ; ЕМ ; Cu ; AU/XF ; 3 ; Продано в зале ; 5600 
 1195 ; 5 копеек ; 1873 ; ЕМ ; Cu ; XF ; 5 ; SSK ; 6018 
 1196 ; 5 копеек ; 1874 ; ЕМ ; Cu ; XF- ; 0 ; Продано в зале ; 4600 
 1197 ; 5 копеек ; 1877 ; СПБ ; Cu ; AU ; 0 ; Продано в зале ; 9000 
 1198 ; 5 копеек ; 1881 ; СПБ ; Cu ; XF+ ; 7 ; SSK ; 5049 
 1099 ; Полтина ; 1738 ;  ; Ag ; VF+ ; 7 ; андрей&ка ; 32000 
 1100 ; Полтина ; 1756 ; СПБ IM BS ; Ag ; VF+ ; 1 ; luda ; 70000 
 1101 ; Полтина ; 1762 ; ММД ДМ ; Ag ; VF+ ; 5 ; cr2448 ; 43860 
 1102 ; Полтина ; 1785 ; СПБ ЯА ; Ag ; VF+ ; 5 ; Продано в зале ; 40000 
 1103 ; Полтина ; 1819 ; СПБ ПС ; Ag ; XF- ; 1 ; mac ; 10000 
 1104 ; Полтина ; 1823 ; СПБ ПД ; Ag ; XF/AU ; 28 ; Продано в зале ; 60000 
 1105 ; Полтина ; 1854 ; MW ; Ag ; Unc/AU ; 3 ; Продано в зале ; 70000 
 1106 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 1 ; Продано в зале ; 13000 
 1107 ; Полтина ; 1867 ; СПБ HI ; Ag ; XF ; 19 ; Продано в зале ; 42000 
 1108 ; Полтина ; 1894 ; (АГ) ; Ag ; XF+ ; 4 ; Продано в зале ; 29000 
 1109 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF ; 20 ; сапсан ; 7151 
 1110 ; Полтина ; 1896 ; ( * ) ; Ag ; XF+ ; 4 ; Продано в зале ; 7600 
 1111 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF/AU ; 7 ; Продано в зале ; 12000 
 1112 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 5 ; Продано в зале ; 8600 
 1113 ; Полуполтинник ; 1765 ; ММД ЕI ТI ; Ag ; XF ; 6 ; Продано в зале ; 23000 
 1114 ; Полуполтинник ; 1766 ; ММД ЕI ; Ag ; XF- ; 2 ; андрей&ка ; 6120 
 1115 ; Полуполтинник ; 1769 ; ММД ЕI ; Ag ; XF ; 10 ; Продано в зале ; 16000 
 1116 ; Полуполтинник ; 1781 ; СПБ АГ ; Ag ; XF+ ; 15 ; Продано в зале ; 25500 
 1117 ; Полуполтинник ; 1795 ; СПБ АК ; Ag ; XF ; 7 ; Продано в зале ; 18000 
 1118 ; Полуполтинник ; 1798 ; СП  ОМ ; Ag ; VF-XF ; 1 ; Продано в зале ; 58000 
 1119 ; 25 копеек ; 1845 ; СПБ КБ ; Ag ; XF- ; 1 ; Продано в зале ; 7200 
 1120 ; 25 копеек-50 грошей ; 1846 ; MW Рус.-Пол. ; Ag ; XF ; 11 ; Продано в зале ; 5200 
 1121 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 6 ; Продано в зале ; 5600 
 1122 ; 25 копеек ; 1886 ; (АГ) АГ ; Ag ; AU ; 2 ; ракот ; 94000 
 1123 ; 25 копеек ; 1889 ; (АГ) АГ ; Ag ; XF/XF+ ; 1 ; ludaNEW ; 200000 
 1124 ; 25 копеек ; 1890 ; (АГ) АГ ; Ag ; XF/XF- ; 12 ; ludaNEW ; 48000 
 1125 ; 25 копеек ; 1891 ; (АГ) АГ ; Ag ; XF+ ; 1 ; ludaNEW ; 50000 
 1126 ; 25 копеек ; 1892 ; (АГ) АГ ; Ag ; XF ; 1 ; ludaNEW ; 75000 
 1127 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; AU ; 18 ; Ионыч ; 37307 
 1128 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 5 ; Ионыч ; 15000 
 1129 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; XF- ; 5 ; mac ; 10200 
 1130 ; 20 копеек ; 1772 ; СПБ TI ; Ag ; XF ; 3 ; mac ; 12240 
 1131 ; 20 копеек ; 1776 ; СПБ TI ; Ag ; XF ; 9 ; Продано в зале ; 13000 
 1132 ; 20 копеек ; 1784 ; СПБ ; Ag ; XF ; 1 ; mac ; 8000 
 1133 ; 20 копеек ; 1821 ; СПБ ПД ; Ag ; XF+ ; 6 ; verunk1 ; 4998 
 1134 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF- ; 1 ; ракот ; 4000 
 1135 ; 20 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 0 ; Продано в зале ; 3000 
 1136 ; 20 копеек ; 1836 ; СПБ НГ ; Ag ; XF ; 1 ; ракот ; 3000 
 1137 ; 20 копеек ; 1839 ; СПБ НГ ; Ag ; XF+ ; 25 ; Продано в зале ; 9000 
 1138 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF/XF+ ; 24 ; verunk1 ; 5667 
 1139 ; 20 копеек ; 1845 ; СПБ КБ ; Ag ; XF- ; 7 ; luda ; 17850 
 1140 ; 20 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 5 ; Продано в зале ; 5800 
 1141 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 1 ; Враг ; 3400 
 1142 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 21 ; Алексей Викторович ; 2808 
