 78 ; 5 копеек. Капсула ; 1843 ; СПБ АЧ ; Ag ;  ; 34 ; tisa66 ; 5250 
 79 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; XF ; 23 ; Alex22D ; 6100 
 80 ; 5 копеек. Капсула ; 1847 ; СПБ ПА ; Ag ;  ; 15 ; Zvm ; 2142 
 81 ; 5 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 38 ; I3 ; 28000 
 82 ; 5 копеек. Капсула ; 1850 ; СПБ ПА ; Ag ;  ; 4 ; лампедуза ; 3600 
 83 ; 5 копеек. Капсула ; 1856 ; СПБ ФБ ; Ag ;  ; 15 ; TORRA ; 3538 
 84 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 26 ; lesnik1 ; 6250 
 85 ; 5 копеек. Капсула ; 1866 ; СПБ НФ ; Ag ;  ; 31 ; Zenit68 ; 11000 
 86 ; 5 копеек. Капсула ; 1868 ; СПБ HI ; Ag ;  ; 29 ; CapsulЪ ; 5000 
 87 ; 5 копеек. Капсула ; 1870 ; СПБ HI ; Ag ;  ; 22 ; q8b ; 4000 
 88 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 41 ; Zenit68 ; 12000 
 89 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 37 ; CapsulЪ ; 9000 
 90 ; 5 копеек ; 1883 ; СПБ ДС ; Ag ; XF+ ; 67 ; I3 ; 17000 
 91 ; 5 копеек. Капсула ; 1913 ; СПБ ВС ; Ag ;  ; 14 ; electra ; 2200 
 92 ; 10 копеек. Капсула ; 1833 ; ЕМ ФХ ; Cu ;  ; 27 ; CapsulЪ ; 18000 
 93 ; 5 копеек. Капсула ; 1771 ; КМ "Сибирь" ; Cu ;  ; 36 ; DiatezЪ ; 16000 
 94 ; 5 копеек. Капсула ; 1773 ; КМ "Сибирь" ; Cu ;  ; 42 ; Продано в зале ; 17000 
 95 ; 5 копеек ; 1809 ; ЕМ ; Cu ; VF-XF ; 31 ; DiatezЪ ; 13000 
 96 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 24 ; Продано в зале ; 3400 
 97 ; 5 копеек. Капсула ; 1833 ; СМ ; Cu ;  ; 35 ; sax ; 6500 
 98 ; 5 копеек. Капсула ; 1834 ; СМ ; Cu ;  ; 23 ; CapsulЪ ; 8000 
 99 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF+ ; 20 ; vit2503 ; 2600 
 100 ; 5 копеек. Капсула ; 1859 ; ЕМ ; Cu ;  ; 58 ; DiatezЪ ; 14000 
 1 ; Платежный слиток. Гривна. Новгородского типа. М-198,4г. L-152мм ;  ; Новгородская ; Ag ;  ; 26 ; Robin - Bobin ; 23000 
 2 ; Платежный слиток. Полтина. Новгородского типа. М-97,9г. L-60мм ;  ; Новгородская ; Ag ;  ; 36 ; 2392 ; 9500 
 3 ; 5 рублей. Капсула ; 1909 ; (ЭБ) ; Au ;  ; 6 ; Продано в зале ; 67500 
 4 ; Рубль ; 1721 ; K ; Ag ; VF+ ; 35 ; а1945 ; 52500 
 5 ; Рубль ; 1726 ;  ; Ag ; VF ; 44 ; vit2503 ; 44000 
 6 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; VF-XF ; 41 ; Продано в зале ; 20000 
 7 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF ; 71 ; Robin - Bobin ; 22000 
 8 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ;  ; 61 ; Продано в зале ; 23000 
 9 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 37 ; Sky2 ; 12000 
 10 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 28 ; Soft ; 6687 
 11 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF- ; 26 ; Alex828 ; 9364 
 12 ; Рубль ; 1848 ; СПБ HI ; Ag ; VF-XF ; 21 ; Ных.Ных ; 7659 
 13 ; Рубль ; 1852 ; СПБ ПА ; Ag ; XF- ; 29 ; konoval333 ; 11001 
 14 ; Рубль ; 1854 ; СПБ HI ; Ag ; VF-XF ; 32 ; Alex828 ; 12467 
 15 ; Рубль ; 1880 ; СПБ НФ ; Ag ; VF-XF ; 28 ; Robin - Bobin ; 17615 
 16 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 59 ; Продано в зале ; 34000 
 17 ; Рубль. Ремонт-снята подвеска 12 часов. Капсула ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ;  ; 39 ; Ravak_1981 ; 8364 
 18 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF ; 24 ; Sky2 ; 9500 
 19 ; Полтина ; 1896 ; ( * ) ; Ag ; XF ; 37 ; StepByStep ; 7000 
 20 ; Полтина ; 1901 ; (ФЗ) АГ ; Ag ; VF-XF ; 62 ; StepByStep ; 28000 
 21 ; 25 копеек ; 1896 ; АГ ; Ag ; XF ; 29 ; AGA ; 7052 
 22 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 31 ; sax ; 4533 
 23 ; 20 копеек (Ильин-5р) ; 1830 ; СПБ НГ ; Ag ; XF ; 44 ; Zenit68 ; 28000 
 24 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; XF+ ; 21 ; Продано в зале ; 1500 
 25 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; XF+ ; 30 ; I3 ; 4200 
 26 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 13 ; Продано в зале ; 2000 
 27 ; 20 копеек. Капсула ; 1865 ; СПБ НФ ; Ag ;  ; 23 ; Продано в зале ; 2500 
 28 ; 20 копеек. Капсула ; 1867 ; СПБ HI ; Ag ;  ; 37 ; Продано в зале ; 5000 
 29 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 6 ; Продано в зале ; 11000 
 30 ; 20 копеек ; 1883 ; СПБ АГ ; Ag ; AU ; 38 ; Продано в зале ; 18000 
 31 ; 20 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 72 ; Продано в зале ; 16000 
 32 ; 20 копеек ; 1889 ; СПБ АГ ; Ag ; XF ; 28 ; Продано в зале ; 2500 
 33 ; 20 копеек. Капсула ; 1891 ; СПБ АГ ; Ag ;  ; 11 ; TORRA ; 2085 
 34 ; 20 копеек. Капсула ; 1905 ; СПБ АР ; Ag ;  ; 58 ; CapsulЪ ; 9000 
 35 ; 20 копеек. Капсула ; 1910 ; СПБ ЭБ ; Ag ;  ; 31 ; I3 ; 3800 
 36 ; 15 копеек ; 1764 ; ММД ; Ag ; VF ; 32 ; vit2503 ; 6000 
 37 ; 15 копеек. Капсула ; 1784 ; СПБ ; Ag ;  ; 24 ; Vorotnik ; 7000 
 38 ; 15 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 42 ; Zenit68 ; 19000 
 39 ; 15 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 87 ; I3 ; 19000 
 40 ; 15 копеек. Капсула ; 1904 ; СПБ АР ; Ag ;  ; 23 ; Zenit68 ; 5000 
 41 ; Гривенник ; 1751 ;  ; Ag ; VF-XF ; 19 ; птичкин ; 3400 
 42 ; 10 копеек ; 1818 ; СПБ ПС ; Ag ; XF ; 14 ; Zenit68 ; 3627 
 43 ; 10 копеек ; 1819 ; СПБ ПС ; Ag ; XF ; 17 ; LuciferM13 ; 3000 
 44 ; 10 копеек ; 1822 ; СПБ ПД ; Ag ; XF+ ; 27 ; Продано в зале ; 5000 
 45 ; 10 копеек. Капсула ; 1825 ; СПБ ПД ; Ag ;  ; 21 ; tisa66 ; 5500 
 46 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 59 ; Продано в зале ; 17000 
 47 ; 10 копеек ; 1828 ; СПБ НГ ; Ag ; XF ; 83 ; Логистик ; 34000 
 48 ; 10 копеек ; 1844 ; СПБ КБ ; Ag ; XF- ; 78 ; Zenit68 ; 11000 
 49 ; 10 копеек. Капсула ; 1855 ; СПБ HI ; Ag ;  ; 20 ; 23011976 ; 3400 
 50 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 52 ; sdv75-2010 ; 13000 
