 37 ; Полтина ; 1851 ; СПБ ПА ; Ag ; XF ; 29 ; К909КА174 ; 11783 
 38 ; Полтина ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 48 ; Isay ; 13375 
 39 ; Полуполтинник ; 1748 ; ММД ; Ag ; XF+ ; 44 ; К909КА174 ; 24690 
 40 ; Полуполтинник ; 1751 ; ММД ; Ag ; XF- ; 31 ; Продано в зале ; 16000 
 41 ; Полуполтинник (Петров-1,5р) ; 1801 ; СМ АИ ; Ag ; XF ; 55 ; Продано в зале ; 69000 
 42 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; XF ; 52 ; нумизмат ; 15471 
 43 ; 25 копеек ; 1840 ; СПБ НГ ; Ag ; VF+ ; 11 ; Isay ; 8364 
 44 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 65 ; Продано в зале ; 9500 
 45 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU/XF ; 62 ; К909КА174 ; 3876 
 46 ; 25 копеек. В капсуле NGC ; 1896 ; АГ ; Ag ; XF+ ; 23 ; К909КА174 ; 3763 
 47 ; 20 копеек ; 1769 ; СПБ TI ; Ag ; VF-XF ; 38 ; К909КА174 ; 8160 
 48 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 101 ; К909КА174 ; 7170 
 49 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 19 ; 462 ; 2040 
 50 ; 15 копеек ; 1784 ; СПБ ; Ag ; XF- ; 35 ; арбат ; 7500 
