 19 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 29 ; CapsulЪ ; 4200 
 20 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 7 ; sm-dc ; 680 
 21 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; XF+ ; 19 ; JohnSilver ; 1135 
 22 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 27 ; JohnSilver ; 1300 
 23 ; 15 копеек ; 1785 ; СПБ ; Ag ; XF ; 22 ; Valera G ; 10198 
 24 ; 10 копеек ; 1798 ; СМ МБ ; Ag ; VF ; 45 ; Продано в зале ; 11500 
 25 ; 10 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 38 ; CapsulЪ ; 7250 
 26 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; VF-XF ; 17 ; СВл ; 2600 
 27 ; 10 копеек ; 1844 ; СПБ КБ ; Ag ; XF ; 36 ; CapsulЪ ; 10500 
 28 ; 10 копеек ; 1851 ; СПБ ПА ; Ag ; XF- ; 36 ; ААФ ; 2701 
 29 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; XF ; 30 ; CapsulЪ ; 2800 
 30 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF- ; 25 ; ААФ ; 4000 
 31 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 38 ; ААФ ; 4400 
 32 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 10 ; Aosa ; 1838 
 33 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 15 ; ЛАВ-13 ; 1500 
 34 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; XF+ ; 7 ; ААФ ; 1022 
 35 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 47 ; Продано в зале ; 9500 
 36 ; 5 копеек ; 1758 ; СПБ ; Ag ; VF-XF ; 11 ; Sikkim ; 3400 
 37 ; 5 копеек ; 1814 ; СПБ ПС ; Ag ; XF ; 28 ; AlexMar ; 4094 
 38 ; 10 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF- ; 28 ; CapsulЪ ; 11000 
 39 ; 5 копеек ; 1778 ; ЕМ ; Cu ; VF+ ; 23 ; CapsulЪ ; 1100 
 40 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF-XF ; 32 ; CapsulЪ ; 1500 
 41 ; 5 копеек ; 1789 ; КМ ; Cu ; VF+ ; 9 ; Mozart.mck ; 3200 
 42 ; 5 копеек ; 1789 ; АМ ; Cu ; VF-XF ; 29 ; electra ; 2000 
 43 ; 5 копеек ; 1791 ; ЕМ ; Cu ; VF-XF ; 20 ; electra ; 900 
 44 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF- ; 52 ; Великий Могол ; 11489 
 45 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; F-VF ; 36 ; eastern wind ; 9578 
 46 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 4400 
 47 ; 5 копеек (Петров-2,5р, Ильин-2р) ; 1806 ; КМ ; Cu ; VF-XF ; 43 ; Продано в зале ; 12000 
 48 ; 5 копеек (Петров-1р) ; 1809 ; ЕМ ; Cu ; VF+ ; 63 ; Sky2 ; 4800 
 49 ; 5 копеек. Новодел ; 1835 ; СМ Новодел ; Cu ; XF+ ; 34 ; CapsulЪ ; 38000 
 50 ; 5 копеек ; 1864 ; ЕМ ; Cu ; VF+ ; 17 ; sergius ; 10000 
