 140 ; Рубль ; 1885 ; СПБ АГ ; Ag ; VF-XF/VF+ ; 40 ; Продано в зале ; 9500 
 141 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; XF+ ; 11 ; Продано в зале ; 2800 
 142 ; 15 копеек ; 1888 ; СПБ АГ ; Ag ; VF+ ; 61 ; Продано в зале ; 11500 
 143 ; Рубль ; 1893 ; (АГ) ; Ag ; XF/AU ; 34 ; Продано в зале ; 26000 
 144 ; Рубль ; 1893 ; (АГ) ; Ag ; XF ; 28 ; Продано в зале ; 22000 
 145 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; XF- ; 52 ; 515151 ; 12715 
 146 ; Полтина ; 1894 ; (АГ) ; Ag ; VF-XF ; 18 ; НДР ; 12467 
 147 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF/AU ; 41 ; verunk1 ; 25500 
 148 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF- ; 27 ; OMT ; 4070 
 149 ; Рубль ; 1896 ; (АГ) ; Ag ; XF/AU ; 22 ; 0987654321 ; 7140 
 150 ; 10 пенни. Редкая датировка ; 1898 ; Финляндия ; Cu ; VF- ; 23 ; Продано в зале ; 6000 
 51 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF ; 57 ; SSK ; 6131 
 52 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; VF-XF ; 41 ; evgen00 ; 11232 
 53 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; VF+/XF- ; 43 ; evgen00 ; 11839 
 54 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 37 ; Продано в зале ; 6500 
 55 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF ; 40 ; нумизмат ; 29652 
 56 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF+ ; 51 ; hugo ; 10500 
 57 ; Рубль (Петров-4р) ; 1777 ; СПБ ФЛ ; Ag ; XF- ; 27 ; якши37 ; 24000 
 58 ; 5 копеек. Крым. Шахин-Гирей (5-ый год правления) ; (1191л.х.)1777 ;  ; Cu ; F-VF ; 23 ; гриша ; 5090 
 59 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF- ; 27 ; нумизмат ; 22172 
 60 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; XF ; 38 ; Продано в зале ; 16000 
 61 ; 5 копеек. Новый орел. Редкая ; 1778 ; ЕМ ; Cu ; VF+ ; 40 ; art67 ; 3510 
 62 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF ; 44 ; Продано в зале ; 22000 
 63 ; 15 копеек ; 1781 ; СПБ ; Ag ; VF+ ; 40 ; Продано в зале ; 3800 
 64 ; 5 копеек ; 1783 ; КМ ; Cu ; XF- ; 11 ; Продано в зале ; 2800 
 65 ; Полушка ; 1789 ; ЕМ ; Cu ; VF+ ; 46 ; asT ; 2800 
 66 ; Гривенник ; 1790 ; СПБ ; Ag ; VF-XF ; 17 ; serg2010 ; 3627 
 67 ; 5 копеек ; 1791 ; АМ ; Cu ; VF+ ; 21 ; Продано в зале ; 700 
 68 ; Денга ; 1793 ; ЕМ ; Cu ; VF-XF ; 79 ; Продано в зале ; 3300 
 69 ; Копейка. М-9,48г ; 1795 ; ЕМ ; Cu ; XF- ; 23 ; monos72 ; 7000 
 70 ; Копейка. М-11,8г ; 1795 ; ЕМ ; Cu ; VF+ ; 15 ; Net ; 567 
 71 ; Деньга ; 1798 ; ЕМ ; Cu ; XF+ ; 35 ; Продано в зале ; 4800 
 72 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF+ ; 25 ; int1965708 ; 14280 
 73 ; Рубль ; 1800 ; СМ ОМ ; Ag ; XF- ; 33 ; якши37 ; 26634 
 74 ; Рубль ; 1802 ; СПБ АИ ; Ag ; VF- ; 41 ; int1965708 ; 8801 
