 35 ; 5 копеек ; 1789 ; АМ ; Cu ; XF- ; 17 ; OMT ; 1360 
 36 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 12 ; Sky2 ; 930 
 37 ; 5 копеек ; 1790 ; КМ ; Cu ; VF-XF ; 25 ; Продано в зале ; 3400 
 38 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 13 ; Продано в зале ; 1200 
 39 ; 5 копеек ; 1792 ; АМ ; Cu ; VF-XF ; 15 ; Sky2 ; 1019 
 40 ; 5 копеек ; 1794 ; АМ ; Cu ; VF-XF ; 9 ; 104 кг ; 1022 
 41 ; 5 копеек ; 1794 ; КМ ; Cu ; VF-XF ; 17 ; Продано в зале ; 2800 
 42 ; 5 копеек ; 1795 ; КМ ; Cu ; VF-XF ; 11 ; алтын ; 5400 
 43 ; 2 копейки ; 1795 ; ЕМ ; Cu ; VF+ ; 13 ; Продано в зале ; 8000 
 44 ; Денга (Петров-1р, Ильин-1р) ; 1795 ; КМ ; Cu ; VF- ; 26 ; Продано в зале ; 2200 
 45 ; 2 копейки ; 1797 ; КМ ; Cu ; VF+ ; 20 ; ksv11 ; 896 
 46 ; 2 копейки ; 1798 ; КМ ; Cu ; VF+ ; 23 ; Продано в зале ; 650 
 47 ; Рубль ; 1799 ; СМ ФЦ ; Ag ; VF ; 43 ; suren ; 20000 
 48 ; 2 копейки ; 1799 ; КМ ; Cu ; VF+ ; 28 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 1009 
 49 ; Рубль ; 1800 ; СМ ОМ ; Ag ; VF-XF ; 53 ; нумизмат ; 32811 
 50 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF+ ; 25 ; Продано в зале ; 16000 
