 34 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 31 ; Аяврик ; 8092 
 35 ; 20 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 22 ; sotonn ; 4400 
 36 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 20 ; 25 ; 4420 
 37 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 63 ; Продано в зале ; 11500 
 38 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 11 ; sotonn ; 2654 
 39 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 24 ; Продано в зале ; 4200 
 40 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 28 ; verunk1 ; 3434 
 41 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 22 ; rotor56 ; 3321 
 42 ; 15 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 67 ; verunk1 ; 23121 
 43 ; 15 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 41 ; verunk1 ; 19666 
 44 ; 15 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 19 ; нумизмат ; 3400 
 45 ; 15 копеек ; 1887 ; СПБ АГ ; Ag ; XF+ ; 17 ; Продано в зале ; 5200 
 46 ; 15 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 28 ; tisa66 ; 7730 
 47 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 16 ; 25 ; 4420 
 48 ; 10 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 21 ; Продано в зале ; 7500 
 49 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 28 ; rotor56 ; 3059 
 50 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 40 ; verunk1 ; 19537 
