 13 ; Рубль ; 1729 ;  ; Ag ; AU/XF ; 24 ; Продано в зале ; 265000 
 14 ; Рубль ; 1729 ;  ; Ag ; XF ; 56 ; Продано в зале ; 86000 
 15 ; Рубль ; 1731 ;  ; Ag ; XF+ ; 39 ; Продано в зале ; 78000 
 16 ; Рубль ; 1732 ;  ; Ag ; XF- ; 21 ; Продано в зале ; 23000 
 17 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 19 ; Sky2 ; 23460 
 18 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 47 ; Sky2 ; 16320 
 19 ; Рубль (Ильин-5р), ремонт - 12 час. ; 1734 ;  ; Ag ; VF+ ; 17 ; Продано в зале ; 34000 
 20 ; Рубль ; 1737 ;  ; Ag ; XF+ ; 20 ; Продано в зале ; 52000 
 21 ; Рубль ; 1739 ; СПБ ; Ag ; VF-XF ; 16 ; Продано в зале ; 28000 
 22 ; Рубль ; 1740 ; СПБ ; Ag ; XF- ; 24 ; icebreaker ; 49784 
 23 ; Рубль, следы перечекана ; 1742 ; СПБ ; Ag ; XF ; 48 ; Продано в зале ; 54000 
 24 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 35 ; Продано в зале ; 17000 
 25 ; Рубль ; 1742 ; ММД ; Ag ; VF+ ; 28 ; Продано в зале ; 56000 
 26 ; Рубль ; 1742 ; ММД ; Ag ; VF-XF ; 41 ; Продано в зале ; 42000 
 27 ; Рубль ; 1744 ; СПБ ; Ag ; VF-XF ; 64 ; Продано в зале ; 17000 
 28 ; Рубль. В капсуле NCS ; 1746 ; СПБ ; Ag ; XF ; 29 ; Продано в зале ; 35000 
 29 ; Рубль ; 1752 ; ММД Е ; Ag ; XF- ; 24 ; icebreaker ; 30702 
 30 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; AU/XF ; 44 ; Продано в зале ; 46000 
 31 ; Рубль ; 1756 ; СПБ ЯI BS ; Ag ; VF-XF ; 31 ; 16840 ; 26724 
 32 ; Рубль (Петров-3,5р, Ильин-3р) ; 1758 ; СПБ НК TI ; Ag ; XF ; 54 ; Продано в зале ; 80000 
 33 ; Рубль ; 1759 ; СПБ ЯI TI ; Ag ; XF- ; 37 ; Продано в зале ; 74000 
 34 ; Рубль (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; VF+ ; 38 ; Продано в зале ; 62000 
 35 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; AU/XF ; 59 ; Продано в зале ; 30000 
 36 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; XF/AU ; 63 ; Продано в зале ; 40000 
 37 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF-XF ; 30 ; DNReply ; 40000 
 38 ; Рубль ; 1804 ; СПБ ФГ ; Ag ; XF/AU ; 37 ; Trien ; 72000 
 39 ; Рубль ; 1810 ; СПБ ФГ ; Ag ; XF+ ; 77 ; Продано в зале ; 105000 
 40 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF/AU ; 30 ; Продано в зале ; 13000 
 41 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 53 ; asp ; 20502 
 42 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 13 ; Sunday ; 30000 
 43 ; Рубль ; 1831 ; СПБ НГ ; Ag ; AU/XF ; 15 ; Sunday ; 46000 
 44 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF+ ; 26 ; Sunday ; 10200 
 45 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 22 ; zsef ; 9000 
 46 ; Рубль (Ильин-3р) ; 1841 ; СПБ НГ ; Ag ; XF- ; 46 ; Продано в зале ; 19000 
 47 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; AU/XF ; 56 ; ddv kv ; 14000 
 48 ; Рубль ; 1844 ; MW ; Ag ; XF- ; 28 ; Продано в зале ; 9000 
 49 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF+ ; 36 ; Продано в зале ; 16000 
 50 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 43 ; ddv kv ; 26520 
