 153 ; 5 копеек ; 1839 ; ЕМ НА ; Cu ; VF+ ; 17 ; Dss ; 1200 
 154 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF- ; 12 ; лиса ; 5098 
 155 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF+ ; 21 ; Участник № 133 ; 2700 
 156 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; VF-XF ; 18 ; boroda ; 6674 
 157 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 20 ; Участник № 30 ; 3400 
 158 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; XF+ ; 6 ; Участник № 9 ; 1400 
 159 ; Медаль ; 1841 ; H.GUBE FECIT На бракосочетание ; Ag ; VF+ ; 40 ; boroda ; 75000 
 160 ; 2 копейки ; 1841 ; СПМ ; Cu ; VF-XF ; 34 ; кабан ; 6666 
 161 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF- ; 19 ; Участник № 62 ; 7000 
 162 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; VF+ ; 14 ; aleks-2007 ; 8000 
 163 ; Рубль ; 1842 ; MW ; Ag ; XF ; 27 ; Участник № 147 ; 13000 
 164 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; VF+ ; 22 ; Участник № 1168 ; 6000 
 165 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 24 ; Участник № 1177 ; 7000 
 166 ; Рубль ; 1843 ; MW ; Ag ; VF-XF ; 29 ; Gatchina ; 10710 
 167 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF ; 19 ; Участник № 1168 ; 9000 
 168 ; Рубль ; 1844 ; MW ; Ag ; XF+ ; 11 ; Участник № 133 ; 6800 
 169 ; Полтина ; 1844 ; СПБ КБ ; Ag ; XF- ; 18 ; igors1969 ; 6913 
 170 ; 5 копеек ; 1844 ; СПБ КБ ; Ag ; AU ; 21 ; 61К ; 5102 
 171 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF- ; 12 ; Участник № 133 ; 6600 
 172 ; Полтина ; 1845 ; СПБ КБ ; Ag ; VF-XF ; 21 ; PSP ; 4873 
 173 ; 25 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 34 ; Участник № 42 ; 6000 
 174 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; VF-XF ; 21 ; AAE2006 ; 1134 
 175 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF- ; 12 ; Участник № 1168 ; 7000 
 176 ; Рубль ; 1846 ; MW ; Ag ; VF-XF ; 9 ; boroda ; 6222 
 177 ; Полтина ; 1846 ; MW ; Ag ; VF+ ; 22 ; Участник № 133 ; 6000 
 178 ; Полтина ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 22 ; AAE2006 ; 4647 
 179 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; XF+ ; 20 ; Alexdav ; 3572 
 180 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF+ ; 23 ; AVA01 ; 13770 
 181 ; Полтина ; 1848 ; СПБ HI ; Ag ; XF+ ; 14 ; Kolya-kms ; 7500 
 182 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 23 ; 61К ; 5500 
 183 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF ; 31 ; AVA01 ; 13772 
 184 ; Полтина ; 1849 ; СПБ ПА ; Ag ; XF ; 21 ; skylink ; 4533 
 185 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; VF-XF ; 38 ; AAE2006 ; 1850 
 186 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF- ; 25 ; Gatchina ; 7777 
 187 ; Полтина ; 1850 ; СПБ ПА ; Ag ; VF-XF ; 22 ; AAE2006 ; 4533 
 188 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; XF- ; 12 ; Участник № 133 ; 2000 
 189 ; 10 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 19 ; Участник № 18 ; 3400 
 190 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 11 ; Участник № 133 ; 2000 
