 94 ; 2 копейки ; 1811 ; СПБ ПС ; Cu ; VF+ ; 3 ; кабан ; 600 
 95 ; 2 копейки ; 1811 ; ИМ МК ; Cu ; VF-XF ; 9 ; Глол ; 2030 
 96 ; Деньга (Петров-1р) ; 1811 ; ИМ МК ; Cu ; VF-XF ; 30 ; sas ; 4055 
 97 ; 2 копейки ; 1812 ; СПБ ПС ; Cu ; VF-XF ; 3 ; кабан ; 204 
 98 ; 2 копейки ; 1812 ; ИМ ПС ; Cu ; VF+ ; 3 ; кабан ; 204 
 99 ; Деньга ; 1812 ; ИМ ПС ; Cu ; VF- ; 3 ; TDN ; 1223 
 100 ; Рубль (Ильин-3р) ; 1813 ; СПБ ПС ; Ag ; VF-XF ; 75 ; Gatchina ; 10506 
 1 ; Алтын ; 1718 ; L перевернута ; Ag ; VF- ; 23 ; leo 2 ; 10100 
 2 ; Рубль ; 1725 ; СПБ ; Ag ; VF+ ; 44 ; Глол ; 80000 
 3 ; Рубль ; 1727 ;  ; Ag ; VF+ ; 16 ; тнн ; 65000 
 4 ; Копейка ; 1728 ;  ; Cu ; VF- ; 14 ; Участник № 168 ; 6000 
 5 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 18 ; тнн ; 55000 
 6 ; Рубль (Петров-10р, Ильин-25р) ; 1729 ;  ; Ag ; VF+ ; 45 ; Участник № 9 ; 155000 
 7 ; Рубль ; 1744 ; ММД ; Ag ; VF+/VF-XF ; 38 ; Участник № 51 ; 26000 
 8 ; Полушка (Ильин-5р, Петров-5р) ; 1745 ;  ; Cu ; F-VF ; 18 ; Участник № 51 ; 3400 
 9 ; Рубль ; 1738 ; СПБ ; Ag ; VF-XF ; 24 ; finger ; 34340 
 10 ; Гривенник ; 1751 ;  ; Ag ; VF+ ; 23 ; sem ; 3059 
 11 ; Полуполтинник ; 1752 ; ММД IШ ; Ag ; XF/XF+ ; 58 ; Участник № 51 ; 18000 
 12 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; VF-XF ; 21 ; Участник № 51 ; 9000 
 13 ; Копейка ; 1756 ;  ; Cu ; F-VF ; 7 ; кабан ; 11334 
 14 ; Денга ; 1759 ;  ; Cu ; VF- ; 21 ; Участник № 51 ; 2400 
 15 ; 5 копеек ; 1760 ;  ; Cu ; VF ; 9 ; Участник № 51 ; 1300 
 16 ; 5 копеек ; 1761 ;  ; Cu ; VF+ ; 21 ; Участник № 222 ; 5000 
 17 ; 2 копейки ; 1761 ;  ; Cu ; VF+ ; 13 ; Участник № 51 ; 4200 
 18 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF+ ; 25 ; Gatchina ; 20015 
 19 ; 2 копейки ; 1762 ; Номинал под гербом ; Cu ; VF- ; 19 ; ВВС ; 3001 
 20 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF+ ; 11 ; Участник № 16 ; 6000 
 21 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF+ ; 7 ; Участник № 51 ; 1600 
 22 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF ; 21 ; ZAA_44 ; 510 
 23 ; 2 копейки ; 1763 ; ЕМ ; Cu ; VF+ ; 31 ; Участник № 222 ; 4200 
 24 ; Полтина ; 1764 ; СПБ ЯI ; Ag ; VF+ ; 25 ; Глол ; 32187 
 25 ; 5 копеек ; 1764 ; ММ ; Cu ; VF/VF+ ; 11 ; Участник № 114 ; 1900 
 26 ; 2 копейки ; 1764 ; ЕМ ; Cu ; VF- ; 7 ; Участник № 51 ; 3600 
 27 ; Полуполтинник ; 1765 ; ММД ЕI ТI ; Ag ; VF+/VF-XF ; 37 ; finger ; 18870 
 28 ; 15 копеек ; 1765 ; ММД ; Ag ; VF+ ; 14 ; TDN ; 6630 
 29 ; 5 копеек ; 1765 ; ЕМ ; Cu ; VF ; 7 ; Участник № 51 ; 450 
 30 ; 5 копеек ; 1766 ; ММ ; Cu ; VF ; 45 ; Участник № 51 ; 1900 
 31 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF+ ; 13 ; Girus_ ; 12240 
