 6 ; 5 рублей. М-6,39г ; 1769 ; СПБ ТI ; Au ; VF ; 41 ; kucz.79 ; 79538 
 7 ; 5 рублей. М-6,54г ; 1839 ; СПБ АЧ ; Au ; AU/XF ; 7 ; hugo ; 38250 
 8 ; 5 рублей. М-6,54г ; 1841 ; СПБ АЧ ; Au ; XF+ ; 18 ; Продано в зале ; 31000 
 9 ; 5 рублей. М-6,54гр ; 1848 ; СПБ АГ ; Au ; AU/XF ; 15 ; lelic ; 40000 
 10 ; 5 рублей. М-6,55 г ; 1854 ; СПБ АГ ; Au ; AU ; 21 ; Продано в зале ; 41000 
 11 ; 5 рублей. М-6,54гр ; 1855 ; СПБ АГ ; Au ; XF ; 25 ; весенnik ; 40800 
 12 ; 5 рублей. М-6,56гр ; 1869 ; СПБ НI ; Au ; AU ; 19 ; весенnik ; 55000 
 13 ; 5 рублей. М-6,55гр ; 1873 ; СПБ НI ; Au ; AU ; 17 ; весенnik ; 51000 
 14 ; 5 рублей. М-6,54 г ; 1874 ; СПБ НI ; Au ; AU ; 32 ; весенnik ; 46716 
 15 ; 5 рублей. М-6,50гр ; 1877 ; СПБ НI ; Au ; AU ; 17 ; hugo ; 34000 
 16 ; 5 рублей. М-6,54г ; 1877 ; СПБ НI ; Au ; AU ; 25 ; Продано в зале ; 34000 
 17 ; 5 рублей. М-6,45гр ; 1887 ; (АГ) Борода длиннее ; Au ; XF+ ; 9 ; lelic ; 40800 
 18 ; 5 рублей. В капсуле NGC ; 1889 ; (АГ) Борода короче ; Au ; AU 58 ; 14 ; Продано в зале ; 23000 
 19 ; 5 рублей. М-6,425 г ; 1891 ; (АГ) ; Au ; XF ; 13 ; весенnik ; 52656 
 20 ; 5 рублей. М-6,44гр ; 1892 ; (АГ) ; Au ; AU ; 12 ; каламбурчик ; 71400 
 21 ; 5 рублей. М-6,43 г ; 1893 ; (АГ) ; Au ; XF ; 7 ; lelic ; 45333 
 22 ; 5 рублей. В капсуле NGC ; 1900 ; (ФЗ) ; Au ; MS 65 ; 31 ; verunk1 ; 18611 
 23 ; 5 рублей. В капсуле NGC ; 1901 ; (ФЗ) ; Au ; MS 65 ; 17 ; Продано в зале ; 12000 
 24 ; 3 рубля-20 злотых. М-3,91 г ; 1837 ; СПБ ПД Рус.-Пол. ; Au ; XF ; 23 ; hugo ; 59274 
 25 ; 3 рубля. М-3,91 г ; 1872 ; СПБ НI ; Au ; AU ; 11 ; 211345 ; 92222 
