 144 ; 2 копейки ; 1763 ; СПМ ; Cu ; VF ; 28 ; masterovoi ; 2000 
 145 ; 2 копейки ; 1766 ; ММ ; Cu ; VF+ ; 24 ; CapsulЪ ; 1900 
 146 ; 2 копейки (Петров-7р, Ильин-3р) ; 1767 ; СПМ ; Cu ; VF ; 66 ; 9525255-2 ; 7777 
 147 ; 2 копейки ; 1773 ; ЕМ ; Cu ; VF+ ; 26 ; CapsulЪ ; 2400 
 148 ; 2 копейки ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 21 ; Чук ; 5550 
 149 ; 2 копейки ; 1788 ; ММ ; Cu ; VF+ ; 16 ; masterovoi ; 3752 
 150 ; 2 копейки ; 1799 ; КМ ; Cu ; XF- ; 27 ; Olimpia ; 1402 
 51 ; Гривенник ; 1743 ;  ; Ag ; XF ; 52 ; CapsulЪ ; 11000 
 52 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; XF+ ; 46 ; Продано в зале ; 3600 
 53 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; XF ; 29 ; Бoroda ; 2000 
 54 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; XF ; 29 ; Продано в зале ; 1800 
 55 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 20 ; птичкин ; 1500 
 56 ; 10 копеек ; 1824 ; СПБ ПД ; Ag ; XF+ ; 23 ; Продано в зале ; 4800 
 57 ; 10 копеек ; 1830 ; СПБ НГ ; Ag ; XF ; 74 ; Продано в зале ; 9500 
 58 ; 10 копеек ; 1831 ; СПБ НГ ; Ag ; XF- ; 31 ; Olimpia ; 6500 
 59 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; XF- ; 24 ; Продано в зале ; 6500 
 60 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 26 ; Продано в зале ; 5750 
 61 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; XF ; 17 ; Shrekpro ; 2200 
 62 ; 10 копеек (Ильин-5р) ; 1850 ; СПБ ПА ; Ag ; XF- ; 25 ; CapsulЪ ; 16000 
 63 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 28 ; Продано в зале ; 5000 
 64 ; 10 копеек В капсуле NGC ; 1859 ; СПБ ФБ ; Ag ;  ; 56 ; sax ; 11000 
 65 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 35 ; Продано в зале ; 4200 
 66 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 34 ; Braslav ; 2000 
 67 ; 10 копеек ; 1866 ; СПБ НФ ; Ag ; XF+ ; 14 ; CapsulЪ ; 3800 
 68 ; 10 копеек ; 1869 ; СПБ HI ; Ag ; XF+ ; 35 ; Braslav ; 2000 
 69 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; XF+ ; 23 ; Продано в зале ; 2800 
 70 ; 10 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 29 ; Продано в зале ; 4800 
 71 ; 10 копеек. В капсуле NGC ; 1905 ; СПБ АР ; Ag ;  ; 59 ; Продано в зале ; 9250 
 72 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 29 ; T-34 ; 8000 
 73 ; 5 копеек ; 1758 ; СПБ ; Ag ; XF ; 54 ; амбал ; 4600 
 74 ; 5 копеек ; 1816 ; СПБ МФ ; Ag ; XF ; 42 ; pilot2371 ; 9500 
 75 ; 5 копеек ; 1819 ; СПБ ПС ; Ag ; XF ; 51 ; pilot2371 ; 9500 
 76 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF- ; 20 ; N.A.S.A ; 1600 
 77 ; 5 копеек ; 1824 ; СПБ ПД ; Ag ; VF-XF ; 19 ; N.A.S.A ; 1000 
 78 ; 5 копеек ; 1825 ; СПБ ПД ; Ag ; XF ; 17 ; Loggi ; 1938 
 79 ; 5 копеек. В капсуле NGC ; 1826 ; СПБ НГ ; Ag ;  ; 61 ; taa ; 5500 
 80 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 41 ; Продано в зале ; 3400 
 81 ; 5 копеек ; 1840 ; СПБ НГ ; Ag ; XF- ; 55 ; sdv75-2010 ; 3555 
 82 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; XF- ; 15 ; sheff78 ; 2400 
 83 ; 5 копеек ; 1844 ; СПБ КБ ; Ag ; XF ; 31 ; vic-dmitri ; 4200 
 84 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 46 ; Продано в зале ; 5000 
 85 ; 5 копеек ; 1846 ; СПБ ПА ; Ag ; XF+ ; 68 ; Продано в зале ; 7000 
 86 ; 5 копеек В капсуле NGC ; 1847 ; СПБ ПА ; Ag ;  ; 23 ; CapsulЪ ; 6250 
 87 ; 5 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 39 ; I3 ; 3013 
 88 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; VF-XF ; 46 ; Olimpia ; 7204 
 89 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 36 ; Продано в зале ; 4200 
 90 ; 5 копеек В капсуле NGC ; 1852 ; СПБ ПА ; Ag ;  ; 18 ; CapsulЪ ; 6000 
 91 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 49 ; I3 ; 5500 
 92 ; 5 копеек ; 1854 ; СПБ HI ; Ag ; AU ; 18 ; T-34 ; 6500 
 93 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; XF ; 28 ; I3 ; 5214 
 94 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 61 ; sdv75-2010 ; 18000 
 95 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 26 ; Alex22D ; 38000 
 96 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 41 ; T-34 ; 10000 
 97 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; XF ; 34 ; Продано в зале ; 4200 
 98 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 34 ; -- --- . ; 5750 
 99 ; 5 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 43 ; T-34 ; 15000 
 100 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 57 ; Продано в зале ; 6750 
 1 ; Рубль ; 1720 ; K ; Ag ; VF+ ; 35 ; Продано в зале ; 34000 
 2 ; Рубль ; 1726 ; СПБ ; Ag ; VF ; 46 ; eastern wind ; 28000 
 3 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 38 ; Продано в зале ; 36000 
 4 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 45 ; eastern wind ; 28000 
 5 ; Рубль ; 1733 ;  ; Ag ; XF ; 55 ; vonrussel ; 22000 
 6 ; Рубль ; 1737 ;  ; Ag ; XF- ; 5 ; Изид ; 18360 
 7 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 31 ; Продано в зале ; 29000 
 8 ; Рубль ; 1742 ; СПБ ; Ag ; VF+ ; 26 ; Eichhörnchen ; 13362 
 9 ; Рубль ; 1746 ; ММД ; Ag ; VF+ ; 17 ; eastern wind ; 15600 
 10 ; Рубль ; 1749 ; СПБ ; Ag ; VF+ ; 38 ; sm-dc ; 17084 
 11 ; Рубль ; 1749 ; ММД ; Ag ; XF ; 27 ; sheff78 ; 22000 
 12 ; Рубль ; 1757 ; СПБ IM BS ; Ag ; XF ; 34 ; CapsulЪ ; 34000 
 13 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; VF-XF ; 37 ; Бoroda ; 11500 
 14 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF ; 22 ; vic-dmitri ; 16000 
 15 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF+ ; 26 ; 462 ; 19380 
 16 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; XF ; 29 ; CapsulЪ ; 17000 
 17 ; Рубль ; 1809 ; СПБ МК ; Ag ; VF-XF ; 42 ; CapsulЪ ; 26000 
 18 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 40 ; амбал ; 36000 
 19 ; Рубль ; 1844 ; MW ; Ag ; XF ; 43 ; амбал ; 9500 
 20 ; Рубль ; 1853 ; СПБ HI ; Ag ; XF- ; 27 ; eastern wind ; 8500 
 21 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF ; 52 ; CapsulЪ ; 13000 
 22 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF- ; 41 ; top1 ; 11500 
 23 ; Рубль ; 1855 ; СПБ HI ; Ag ; XF ; 75 ; Продано в зале ; 13000 
 24 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF ; 69 ; 462 ; 16000 
 25 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; VF-XF ; 62 ; Бoroda ; 40800 
 26 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 30 ; Бoroda ; 34000 
 27 ; Рубль ; 1897 ; (АГ) ; Ag ; XF+/AU ; 22 ; NikTop ; 10500 
 28 ; Рубль ; 1899 ; (ЭБ) ; Ag ; XF+ ; 33 ; electra ; 13000 
 29 ; Рубль ; 1899 ; ( ** ) ; Ag ; XF+ ; 47 ; electra ; 13000 
 30 ; Рубль ; 1907 ; (ЭБ) ; Ag ; XF+ ; 78 ; NikTop ; 36000 
 31 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF ; 23 ; NikTop ; 19000 
 32 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF+ ; 22 ; амбал ; 8500 
 33 ; Полтина ; 1819 ; СПБ ПС ; Ag ; VF-XF ; 45 ; taa ; 6500 
 34 ; Полтина ; 1845 ; СПБ КБ ; Ag ; XF- ; 24 ; Бoroda ; 5250 
 35 ; Полтина ; 1856 ; СПБ ФБ ; Ag ; XF ; 29 ; fgd ; 6000 
 36 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF+ ; 36 ; Бoroda ; 17000 
 37 ; Полтина. В капсуле NGC ; 1912 ; (ЭБ) АГ ; Ag ;  ; 30 ; il468 ; 3507 
 38 ; Полтина В капсуле NGC ; 1912 ; (ЭБ) АГ ; Ag ;  ; 45 ; Продано в зале ; 9500 
 39 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; XF ; 43 ; амбал ; 10361 
 40 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; XF ; 23 ; амбал ; 3774 
 41 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 27 ; AIII ; 3000 
 42 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 16 ; Бoroda ; 4800 
 43 ; 25 копеек. В капсуле RNGA ; 1895 ; АГ ; Ag ;  ; 34 ; sax ; 21000 
 44 ; 20 копеек. В капсуле NGC ; 1819 ; СПБ ПС ; Ag ;  ; 13 ; Hermes ; 3570 
 45 ; 20 копеек. В капсуле NGC ; 1848 ; СПБ HI ; Ag ;  ; 66 ; CapsulЪ ; 21000 
 46 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 31 ; Zoltan 333 ; 2200 
 47 ; Гривенник ; 1785 ; СПБ ; Ag ; VF-XF ; 38 ; N.A.S.A ; 4000 
 48 ; 15 копеек. В капсуле NGC ; 1864 ; СПБ НФ ; Ag ;  ; 48 ; Продано в зале ; 4600 
 49 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 30 ; птичкин ; 7000 
 50 ; Гривенник ; 1742 ;  ; Ag ; XF ; 37 ; CapsulЪ ; 10000 
